service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
Soboty_0,0,0,0,0,0,1,0,20150716,20151231
Neděle+Sv_1,0,0,0,0,0,0,1,20150716,20151231
Leto_2,1,1,1,1,1,0,0,20150716,20151231
Prac.dny_3,1,1,1,1,1,0,0,20150716,20151231
Soboty_4,0,0,0,0,0,1,0,20150716,20151231
Neděle+Sv_5,0,0,0,0,0,0,1,20150716,20151231
Leto_6,1,1,1,1,1,0,0,20150716,20151231
Prac.dny_7,1,1,1,1,1,0,0,20150716,20151231
Soboty_8,0,0,0,0,0,1,0,20150716,20151231
Neděle+Sv_9,0,0,0,0,0,0,1,20150716,20151231
