route_id,agency_id,route_short_name,route_long_name,route_type,route_text_color
279,01,2,,0,000000
379,01,3,,0,000000
479,01,4,,0,000000
579,01,5,,0,000000
679,01,6,,0,000000
879,01,8,,0,000000
979,01,9,,0,000000
20157,01,201,,11,000000
20257,01,202,,11,000000
20357,01,203,,11,000000
20457,01,204,,11,000000
20557,01,205,,11,000000
20657,01,206,,11,000000
20758,01,207,,11,000000
20857,01,208,,11,000000
20958,01,209,,11,000000
21058,01,210,,11,000000
21157,01,211,,11,000000
21257,01,212,,11,000000
3357,01,33,,11,000000
44457,01,N44,,11,000000
44757,01,N47,,11,000000
47257,01,N72,,11,000000
6457,01,64,,11,000000
12309,01,123,,3,000000
13003,01,130,,3,000000
13301,01,133,,3,000000
13951,01,139,,3,000000
14702,01,147,,3,000000
15151,01,151,,3,000000
19106,01,191,,3,000000
19206,01,192,,3,000000
19601,01,196,,3,000000
2008,01,20,,3,000000
2110,01,21,,3,000000
2309,01,23,,3,000000
2406,01,24,,3,000000
2510,01,25,,3,000000
2606,01,26,,3,000000
2701,01,27,,3,000000
2802,01,28,,3,000000
2904,01,29,,3,000000
3003,01,30,,3,000000
3102,01,31,,3,000000
3204,01,32,,3,000000
3552,01,35,,3,000000
3707,01,37,,3,000000
3902,01,39,,3,000000
4103,01,41,,3,000000
42110,01,N21,,3,000000
42903,01,N29,,3,000000
4306,01,43,,3,000000
43110,01,N31,,3,000000
43304,01,N33,,3,000000
43407,01,N34,,3,000000
43707,01,N37,,3,000000
4454,01,44,,3,000000
45309,01,N53,,3,000000
45506,01,N55,,3,000000
45606,01,N56,,3,000000
46103,01,N61,,3,000000
47007,01,N70,,3,000000
47403,01,N74,,3,000000
48008,01,N80,,3,000000
49108,01,N91,,3,000000
49307,01,N93,,3,000000
49510,01,N95,,3,000000
49906,01,N99,,3,000000
5009,01,50,,3,000000
5107,01,51,,3,000000
5206,01,52,,3,000000
5309,01,53,,3,000000
5403,01,54,,3,000000
5606,01,56,,3,000000
5706,01,57,,3,000000
5801,01,58,,3,000000
5902,01,59,,3,000000
6110,01,61,,3,000000
63009,01,630,,3,000000
6301,01,63,,3,000000
6503,01,65,,3,000000
6603,01,66,,3,000000
6707,01,67,,3,000000
6803,01,68,,3,000000
6901,01,69,,3,000000
7006,01,70,,3,000000
7407,01,74,,3,000000
7551,01,75,,3,000000
7755,01,77,,3,000000
7805,01,78,,3,000000
7903,01,79,,3,000000
8006,01,80,,3,000000
80109,01,801,,3,000000
81312,01,X13,,3,000000
8205,01,82,,3,000000
8307,01,83,,3,000000
8407,01,84,,3,000000
8707,01,87,,3,000000
8801,01,88,,3,000000
9009,01,90,,3,000000
90151,01,901,,3,000000
9108,01,91,,3,000000
9210,01,92,,3,000000
9307,01,93,,3,000000
9406,01,94,,3,000000
9510,01,95,,3,000000
9604,01,96,,3,000000
9807,01,98,,3,000000
9906,01,99,,3,000000
